patent,frequency
6408282,407
3271591,406
4368736,406
4528588,406
5223924,406
5243515,406
5260611,406
5391250,406
5809415,406
6452915,406
6852915,406
4577631,405
4654030,405
5334183,405
5404485,405
5530235,405
5697971,405
5756981,405
5861137,405
5882774,405
5901327,405
6693232,405
5078717,404
5141868,404
5153157,404
5270922,404
5334217,404
5751012,404
5963940,404
4695954,403
5061273,403
5145684,403
5297249,403
5314477,403
5499294,403
5602987,403
5687236,403
5173851,402
5279294,402
5826244,402
6004269,402
6048269,402
6122526,402
4581017,401
4793348,401
4941572,401
5202231,401
5217457,401
5282222,401
5743262,401
5942443,401
6261177,401
5019974,400
5106360,400
5430859,400
5545186,400
6117720,400
6161543,400
6502131,400
4610678,399
4723212,399
5085659,399
5433651,399
5769816,399
5917405,399
5918223,399
6061660,399
6601233,399
3581072,398
4189868,398
5489308,398
5609627,398
5693085,398
5739585,398
5790935,398
5790974,398
5933829,398
5968176,398
6168520,398
6314409,398
4812843,397
4922905,397
4944299,397
5005122,397
5304468,397
5458638,397
5487385,397
5487757,397
5530101,397
5697536,397
6066861,397
4765331,396
4789648,396
5226126,396
5377354,396
5450490,396
5930026,396
6047327,396
6110041,396
4969891,395
5073900,395
5257369,395
5443498,395
5443500,395
5556431,395
5708709,395
5768528,395
5963915,395
6088686,395
6413802,395
6614781,395
2003/0093790,394
4076663,394
4642487,394
4908713,394
5057106,394
5377051,394
5558091,394
5752976,394
5764972,394
5797960,394
5835726,394
6128214,394
6643652,394
5059166,393
5324683,393
5867494,393
5961804,393
5963962,393
4671288,392
5151105,392
5251127,392
5293869,392
5336552,392
5389106,392
5578808,392
6402750,392
4235238,391
4529480,391
4876220,391
5202826,391
5577109,391
5697281,391
5933816,391
5970143,391
6421675,391
4297811,390
4953085,390
5250071,390
5474796,390
5734373,390
5953707,390
5980972,390
6058379,390
4280314,389
4913141,389
4969888,389
5399346,389
5433739,389
5586260,389
5663734,389
5726984,389
5941869,389
6156067,389
6323846,389
4575805,388
4720415,388
4832055,388
5015255,388
5042707,388
5260610,388
5403639,388
5448314,388
5562738,388
5586553,388
5857175,388
6052735,388
4573448,387
4636217,387
4868376,387
5165407,387
5191611,387
5313421,387
5772509,387
5774876,387
5812865,387
5888226,387
5956487,387
5965380,387
6064980,387
4339798,386
4940916,386
5225842,386
5307456,386
5339392,386
5414704,386
5414796,386
5587128,386
5740231,386
6100804,386
6285999,386
4602279,385
5530232,385
5580859,385
5636346,385
5649977,385
5774170,385
5793763,385
5833690,385
5951694,385
5983227,385
6150774,385
7046230,385
4484570,384
4657550,384
5304121,384
5347653,384
5392390,384
5452024,384
5454809,384
5585838,384
5632957,384
5649114,384
5748783,384
6236059,384
"""WO 2004/019128""",383
2002/0163629,383
4764666,383
